Group,Category,Value
18 - 24 years,ABIS_BOOK,10645
18 - 24 years,SHIRT,2337
18 - 24 years,ELECTRONIC_CABLE,2199
18 - 24 years,NUTRITIONAL_SUPPLEMENT,2003
18 - 24 years,CELLULAR_PHONE_CASE,1902
25 - 34 years,ABIS_BOOK,27237
25 - 34 years,GIFT_CARD,11294
25 - 34 years,PET_FOOD,9267
25 - 34 years,SHIRT,8941
25 - 34 years,NUTRITIONAL_SUPPLEMENT,7346
35 - 44 years,ABIS_BOOK,25833
35 - 44 years,PET_FOOD,11913
35 - 44 years,GIFT_CARD,9137
35 - 44 years,SHIRT,8384
35 - 44 years,NUTRITIONAL_SUPPLEMENT,7648
45 - 54 years,ABIS_BOOK,14477
45 - 54 years,PET_FOOD,8483
45 - 54 years,NUTRITIONAL_SUPPLEMENT,5746
45 - 54 years,SHIRT,4837
45 - 54 years,GIFT_CARD,3579
55 - 64 years,ABIS_BOOK,6609
55 - 64 years,PET_FOOD,5154
55 - 64 years,NUTRITIONAL_SUPPLEMENT,3107
55 - 64 years,SHIRT,2227
55 - 64 years,MEDICATION,1929
65 and older,ABIS_BOOK,2818
65 and older,PET_FOOD,1656
65 and older,NUTRITIONAL_SUPPLEMENT,1063
65 and older,COFFEE,658
65 and older,GIFT_CARD,638
