Group,Category,Value
Bachelor's,ABIS_BOOK,39150
Bachelor's,PET_FOOD,17586
Bachelor's,NUTRITIONAL_SUPPLEMENT,12652
Bachelor's,SHIRT,12231
Bachelor's,GIFT_CARD,12007
Graduate/professional,ABIS_BOOK,25950
Graduate/professional,PET_FOOD,7647
Graduate/professional,SHIRT,6076
Graduate/professional,GIFT_CARD,5977
Graduate/professional,NUTRITIONAL_SUPPLEMENT,5600
High school/GED,ABIS_BOOK,21807
High school/GED,PET_FOOD,12491
High school/GED,GIFT_CARD,9168
High school/GED,SHIRT,8600
High school/GED,NUTRITIONAL_SUPPLEMENT,8339
Prefer not to say,ABIS_BOOK,467
Prefer not to say,PET_FOOD,245
Prefer not to say,GIFT_CARD,238
Prefer not to say,MEDICATION,187
Prefer not to say,SHIRT,173
< High school,GIFT_CARD,344
< High school,PET_FOOD,287
< High school,ABIS_BOOK,245
< High school,SHIRT,187
< High school,NUTRITIONAL_SUPPLEMENT,182
