Group,Category,Value
"$100,000 - $149,999",ABIS_BOOK,17799
"$100,000 - $149,999",PET_FOOD,7566
"$100,000 - $149,999",SHIRT,6246
"$100,000 - $149,999",NUTRITIONAL_SUPPLEMENT,4902
"$100,000 - $149,999",GIFT_CARD,4825
"$150,000 or more",ABIS_BOOK,13173
"$150,000 or more",GIFT_CARD,4837
"$150,000 or more",PET_FOOD,4766
"$150,000 or more",NUTRITIONAL_SUPPLEMENT,3588
"$150,000 or more",SHIRT,3411
"$25,000 - $49,999",ABIS_BOOK,15785
"$25,000 - $49,999",PET_FOOD,9296
"$25,000 - $49,999",NUTRITIONAL_SUPPLEMENT,5382
"$25,000 - $49,999",GIFT_CARD,5090
"$25,000 - $49,999",SHIRT,4670
"$50,000 - $74,999",ABIS_BOOK,16906
"$50,000 - $74,999",PET_FOOD,6649
"$50,000 - $74,999",SHIRT,5596
"$50,000 - $74,999",NUTRITIONAL_SUPPLEMENT,5293
"$50,000 - $74,999",GIFT_CARD,4903
"$75,000 - $99,999",ABIS_BOOK,14713
"$75,000 - $99,999",PET_FOOD,5678
"$75,000 - $99,999",NUTRITIONAL_SUPPLEMENT,5128
"$75,000 - $99,999",SHIRT,4790
"$75,000 - $99,999",GIFT_CARD,4110
"Less than $25,000",ABIS_BOOK,8308
"Less than $25,000",PET_FOOD,3836
"Less than $25,000",GIFT_CARD,2802
"Less than $25,000",NUTRITIONAL_SUPPLEMENT,2390
"Less than $25,000",SHIRT,2330
Prefer not to say,GIFT_CARD,1167
Prefer not to say,ABIS_BOOK,935
Prefer not to say,PET_FOOD,465
Prefer not to say,MEDICATION,322
Prefer not to say,NUTRITIONAL_SUPPLEMENT,230
