Group,Category,Value
American Indian/Native American or Alaska Native,ABIS_BOOK,498
American Indian/Native American or Alaska Native,PET_FOOD,264
American Indian/Native American or Alaska Native,COFFEE,183
American Indian/Native American or Alaska Native,SHIRT,159
American Indian/Native American or Alaska Native,ELECTRONIC_CABLE,145
Asian,GIFT_CARD,4166
Asian,ABIS_BOOK,3585
Asian,PET_FOOD,1700
Asian,NUTRITIONAL_SUPPLEMENT,1449
Asian,ELECTRONIC_CABLE,1279
"Asian,Native Hawaiian or Other Pacific Islander",NUTRITIONAL_SUPPLEMENT,94
"Asian,Native Hawaiian or Other Pacific Islander",ABIS_BOOK,64
"Asian,Native Hawaiian or Other Pacific Islander",CELLULAR_PHONE_CASE,59
"Asian,Native Hawaiian or Other Pacific Islander",PET_FOOD,50
"Asian,Native Hawaiian or Other Pacific Islander",ELECTRONIC_CABLE,47
"Asian,Other",PORTABLE_ELECTRONIC_DEVICE_COVER,4
"Asian,Other",ABIS_BOOK,3
"Asian,Other",HANDBAG,3
"Asian,Other",GIFT_CARD,2
"Asian,Other",GRAPHIC_TABLET,2
Black or African American,ABIS_BOOK,3553
Black or African American,GIFT_CARD,1982
Black or African American,SHIRT,1528
Black or African American,NUTRITIONAL_SUPPLEMENT,1517
Black or African American,FOOD,1397
"Black or African American,American Indian/Native American or Alaska Native",PET_FOOD,46
"Black or African American,American Indian/Native American or Alaska Native",GIFT_CARD,39
"Black or African American,American Indian/Native American or Alaska Native",SNACK_CHIP_AND_CRISP,34
"Black or African American,American Indian/Native American or Alaska Native",JUICE_AND_JUICE_DRINK,32
"Black or African American,American Indian/Native American or Alaska Native",PACKAGED_SOUP_AND_STEW,25
"Black or African American,American Indian/Native American or Alaska Native,Asian",ABIS_BOOK,111
"Black or African American,American Indian/Native American or Alaska Native,Asian",GROCERY,52
"Black or African American,American Indian/Native American or Alaska Native,Asian",WATER,31
"Black or African American,American Indian/Native American or Alaska Native,Asian",FOOD,29
"Black or African American,American Indian/Native American or Alaska Native,Asian",COFFEE,27
"Black or African American,Asian",ABIS_BOOK,148
"Black or African American,Asian",GIFT_CARD,90
"Black or African American,Asian",INCONTINENCE_PROTECTOR,32
"Black or African American,Asian",ABIS_GIFT_CARD,30
